text,intent
"Открой мой последний чат с Марком.
",open
"Запусти мою групповую беседу с командой разработки.
",open
"Открой диалог с тем, кто отправил мне сообщение ""Встречаемся в 6 вечера"".
",open
"Запусти беседу с Мариной и отправь ей ""Привет!"".
",open
"Открой чат с моим другом Томом.
",open
"Запусти диалог с кем-то, кто отправил мне сообщение ""Скоро закончится проект"".
",open
"Открой групповую беседу с моими друзьями.
",open
"Запусти чат с тем, кто отправил мне сообщение ""Как дела?"".
",open
"Открой диалог с Майком и отправь ему ""Спасибо!"".
",open
"Запусти групповую беседу с моей семьей.
",open
"Открой чат с партнером по бизнесу.
",open
"Запусти диалог с тем, кто отправил мне сообщение ""Приходите в 8 утра"".
",open
"Открой групповую беседу с моими коллегами.
",open
"Запусти чат с тем, кто отправил мне сообщение ""Как прошло интервью?"".
",open
"Открой диалог с Джоном и отправь ему ""Пока!"".
",open
"Запусти групповую беседу с моими друзьями из школы.
",open
"Открой чат с моим другом Джеймсом.
",open
"Запусти диалог с тем, кто отправил мне сообщение ""Когда будет следующее собрание?"".
",open
"Открой групповую беседу с моими друзьями из университета.
",open
"Запусти чат с тем, кто отправил мне сообщение ""Как прошел день?"".
",open
"Открой диалог с Мэри и отправь ей ""До завтра!"".
",open
"Запусти групповую беседу с моими друзьями из спортивной команды.
",open
"Открой чат с моим другом Питером.
",open
"Запусти диалог с тем, кто отправил мне сообщение ""Как ты себя чувствуешь?"".
",open
"Открой групповую беседу с моими коллегами по работе.
",open
"Запусти чат с тем, кто отправил мне сообщение ""Как прошла вечеринка?"".
",open
"Открой диалог с Джейсоном и отправь ему ""Увидимся!"".
",open
"Запусти групповую беседу с моими друзьями из клуба по интересам.
",open
"Открой чат с моим другом Бобом.
",open
"Запусти диалог с тем, кто отправил мне сообщение ""Какой у тебя план на выходные?"".
",open
"Открой групповую беседу с моими друзьями из команды по онлайн-играм.
",open
"Запусти чат с тем, кто отправил мне сообщение ""Какие новости?"".
",open
"Открой диалог с Рэйчел и отправь ей ""Спокойной ночи!"".
",open
"Запусти групповую беседу с моей командой по проекту.
",open
"Открой чат с моим другом Дэвидом.
",open
"Запусти диалог с тем, кто отправил мне сообщение ""Какой сегодня день?"".
",open
"Открой групповую беседу с моими друзьями из кружка по фотографии.
",open
"Запусти чат с тем, кто отправил мне сообщение ""Что нового?"".
",open
"Открой диалог с Джо и отправь ему ""Удачи!"".
",open
"Запусти групповую беседу с моими друзьями из кружка по рисованию.
",open
"Открой чат с моим другом Джеком.
",open
"Запусти диалог с тем, кто отправил мне сообщение ""Какие планы на выходные?"".
",open
"Открой групповую беседу с моими друзьями из кружка по музыке.
",open
"Запусти чат с тем, кто отправил мне сообщение ""Как дела на работе?"".
",open
"Открой диалог с Кэти и отправь ей ""До скорого!"".
",open
"Запусти групповую беседу с моими друзьями из кружка по театру.
",open
"Открой чат с моим другом Райаном.
",open
"Запусти диалог с тем, кто отправил мне сообщение ""Как дела на учебе?"".
",open
"Открой групповую беседу с моими друзьями из кружка по танцам.
",open
"Запусти чат с тем, кто отправил мне сообщение ""Что планируешь делать на выходные?"".
",open
"Открой диалог с Анной и отправь ей ""Спасибо за помощь!"".
",open
"Запусти групповую беседу с моими друзьями из кружка по кулинарии.
",open
"Открой чат с моим другом Джошем.
",open
"Запусти диалог с тем, кто отправил мне сообщение ""Какие новости в мире?"".
",open
"Открой групповую беседу с моими друзьями из кружка по фитнесу.
",open
"Запусти чат с тем, кто отправил мне сообщение ""Что планируешь на выходные?"".
",open
"Открой диалог с Стивом и отправь ему ""Увидимся позже!"".
",open
"Запусти групповую беседу с моими друзьями из кружка по языкам.
",open
"Открой чат с моим другом Майком.
",open
"Запусти диалог с тем, кто отправил мне сообщение ""Какие новости в мире технологий?"".
",open
"Открой групповую беседу с моими друзьями из кружка по робототехнике.
",open
"Запусти чат с тем, кто отправил мне сообщение ""Как прошел день на работе?"".
",open
"Открой диалог с Люси и отправь ей ""Спасибо за помощь!"". #63
",open
"Открой главный экран
",open
"Запусти мессенджер
",open
"Открой чат с Джоном
",open
"Запусти настройки профиля
",open
"Открой список контактов
",open
"Запусти новую беседу
",open
"Открой список диалогов
",open
"Запусти режим темной темы
",open
"Открой список групп
",open
"Запусти поиск по сообщениям
",open
"Открой настройки безопасности
",open
"Запусти режим авторизации по отпечатку пальца
",open
"Открой список файлов
",open
"Запусти новое голосовое сообщение
",open
"Открой уведомления
",open
"Запусти режим не беспокоить
",open
"Открой список стикеров
",open
"Запусти режим ""показать онлайн""
",open
"Открой группу ""Семья""
",open
"Запусти режим ""не следить""
",open
"Открой список медиа-файлов
",open
"Запусти новое видео-сообщение
",open
"Открой список аудио-файлов
",open
"Запусти новый аудио-запись
",open
"Открой список документов
",open
"Запусти новый документ
",open
"Открой список ссылок
",open
"Запусти новую ссылку
",open
"Открой список задач
",open
"Запусти новую задачу
",open
"Открой список напоминаний
",open
"Запусти новое напоминание
",open
"Открой список заметок
",open
"Запусти новую заметку
",open
"Открой список покупок
",open
"Запусти новый пункт покупок
",open
"Открой список событий в календаре
",open
"Запусти новое событие в календаре
",open
"Открой список заданий на день
",open
"Запусти новое задание на день
",open
"Открой список направлений
",open
"Запусти новое направление
",open
"Открой список мест
",open
"Запусти новое место
",open
"Открой список планировщика
",open
"Запусти новый пункт планировщика
",open
"Открой список заметок на карте
",open
"Запусти новую заметку на карте
",open
"Открой список контактов в социальных сетях
",open
"Запусти новый контакт в социальных сетях
",open
"Открой список приложений
",open
"Запусти новое приложение
",open
"Открой список виджетов
",open
"Запусти новый виджет
",open
"Открой список скриншотов
",open
"Запусти новый скриншот
",open
"Открой список фотографий
",open
"Запусти новую фотографию
",open
"Открой список видео
",open
"Запусти новое видео
",open
"Открой список аудио
",open
"Запусти новое аудио
",open
"Открой список связанных приложений
",open
"Запусти новое связанное приложение
",open
"Открой список настроек уведомлений
",open
"Запусти новые настройки уведомлений
",open
"Открой список настроек пуш-уведомлений
",open
"Запусти новые настройки пуш-уведомлений
",open
"Открой список настроек учетной записи
",open
"Запусти новые настройки учетной записи
",open
"Открой список настроек интерфейса
",open
"Запусти новые настройки интерфейса
",open
"Открой список настроек безопасности
",open
"Запусти новые настройки безопасности
",open
"Открой список настроек устройства
",open
"Запусти новые настройки устройства
",open
"Открой список настроек экрана
",open
"Запусти новые настройки экрана
",open
"Открой список настроек звука
",open
"Запусти новые настройки звука
",open
"Открой список настроек уведомлений
",open
"Запусти новые настройки уведомлений
",open
"Открой список настроек языка
",open
"Запусти новые настройки языка
",open
"Открой список настроек учетной записи
",open
"Запусти новые настройки учетной записи
",open
"Открой список настроек интернета
",open
"Запусти новые настройки интернета
",open
"Открой список настроек мобильной связи
",open
"Запусти новые настройки мобильной связи
",open
"Открой список настроек Wi-Fi
",open
"Запусти новые настройки Wi-Fi
",open
"Открой список настроек Bluetooth
",open
"Запусти новые настройки Bluetooth
",open
"Открой список настроек GPS
",open
"Запусти новые настройки GPS
",open
"Открой список настроек NFC
",open
"Запусти новые настройки NFC
",open
"Открой список настроек USB
",open
"Запусти новые настройки USB #163
",open
"Открой последнее сообщение в чате.
",open
"Запусти мой любимый чат.
",open
"Открой список контактов.
",open
"Запусти диалог с Андреем.
",open
"Открой настройки уведомлений.
",open
"Запусти групповой чат с моей семьей.
",open
"Открой сообщения от Марии.
",open
"Запусти чат с людьми из моей школы.
",open
"Открой профиль пользователя.
",open
"Запусти мой личный чат с боссом.
",open
"Открой диалог с Джоном и Мэри.
",open
"Запусти чат с моими коллегами.
",open
"Открой список непрочитанных сообщений.
",open
"Запусти группу людей, с которыми я играю в онлайн-игры.
",open
"Открой мои сохраненные сообщения.
",open
"Запусти чат с моим другом, с которым я давно не общался.
",open
"Открой сообщения от моего парня.
",open
"Запусти чат с моими бывшими одноклассниками.
",open
"Открой диалог с моими родителями.
",open
"Запусти чат с моими друзьями из детства.
",open
"Открой сообщения от моего начальника.
",open
"Запусти чат с моими соседями.
",open
"Открой диалог с моим лучшим другом.
",open
"Запусти чат с моей командой по спорту.
",open
"Открой сообщения от моей бывшей.
",open
"Запусти чат с моими коллегами по работе.
",open
"Открой диалог с моим другом из другого города.
",open
"Запусти чат с моими друзьями из университета.
",open
"Открой сообщения от моего друга, который живет в другой стране.
",open
"Запусти чат с моими друзьями из разных стран.
",open
"Открой диалог с моим другом-путешественником.
",open
"Запусти чат с моими знакомыми из социальных сетей.
",open
"Открой сообщения от моего друга-программиста.
",open
"Запусти чат с моими знакомыми из моего города.
",open
"Открой диалог с моим другом-медиа-гуру.
",open
"Запусти чат с моими друзьями из киноиндустрии.
",open
"Открой сообщения от моего друга-писателя.
",open
"Запусти чат с моими друзьями из музыкальной индустрии.
",open
"Открой диалог с моим другом-фотографом.
",open
"Запусти чат с моими друзьями из модной индустрии.
",open
"Открой сообщения от моего друга-дизайнера.
",open
"Запусти чат с моими друзьями из технологической индустрии.
",open
"Открой диалог с моим другом-стартапером.
",open
"Запусти чат с моими друзьями из инвестиционной индустрии.
",open
"Открой сообщения от моего друга-бизнесмена.
",open
"Запусти чат с моими друзьями из финансовой индустрии.
",open
"Открой диалог с моим другом-ученым.
",open
"Запусти чат с моими друзьями из академической сферы.
",open
"Открой сообщения от моего друга-исследователя.
",open
"Запусти чат с моими друзьями из образовательной сферы.
",open
"Открой диалог с моим другом-писателем-фантастом.
",open
"Запусти чат с моими друзьями из игровой индустрии.
",open
"Открой сообщения от моего друга-кинорежиссера.
",open
"Запусти чат с моими друзьями из телевизионной индустрии.
",open
"Открой диалог с моим другом-актером.
",open
"Запусти чат с моими друзьями из театральной индустрии.
",open
"Открой сообщения от моего друга-художника.
",open
"Запусти чат с моими друзьями из музейной сферы.
",open
"Открой диалог с моим другом-философом.
",open
"Запусти чат с моими друзьями из научно-популярной сферы.
",open
"Открой сообщения от моего друга-историка.
",open
"Запусти чат с моими друзьями из политической сферы.
",open
"Открой диалог с моим другом-экспертом по международным отношениям.
",open
"Запусти чат с моими друзьями из дипломатической сферы.
",open
"Открой сообщения от моего друга-правозащитника.
",open
"Запусти чат с моими друзьями из юридической сферы.
",open
